Curso,Nivel,Codigo,Genero,Adaptacion,Puntuacion_profesor,Puntuacion_apoyo,Laboratorios_escuela,Laboratorios_comunicaciones,Sensibilizacion_ONG,Material,Ingenieria_despues,Dedicacion,Valoracion_ingenierias_despues,Nivel_matematicas,Recomendacion,Repetir,Puntuacion_curso,Mejor_curso,Peor_curso,Mejorar,Gustar,Estudiar,Entender,No_entender,Profesional,Actividades,Carrera,Facilidad,Disfrutar,No_trabajo,Mundo_mejor,Interes_asignaturas,Salida_profesional,Actividades_instituto,Dificultad_asignaturas,Trabajo,Respeto_cientificos,Efecto_vidas,No_gustar,Examenes,Decisiones_personales,Otros_campus,Decision,Edad,Valoracion_ingenierias_antes,Ingenieria_antes,Valoracion_ingenierias
CIBERSEGURIDAD,SENIOR,908497,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Ciberseguridad,Muy buena,Muy bien,Sí,Sí,9,Lo aprendido,Madrugar,.,5,5,5,1,5,4,5,4,5,3,5,5,5,5,2,3,4,5,1,2,4,No,"Yo, Mis padres",15,Muy buena,Sí,Igual
EMPRENDE ICADE,SENIOR,910628,Chico,Muy bien,10,10,No asistí,No asistí,Mala,Bien,Sí,Ser millonario,Buena,Muy bien,Sí,Sí,10,Que los jueces nos dieran una buena puntuación,Los ordenadores van muy lento respecto al disco duro no a los demas componentes,Nada se trabaja muy bien y los profesores son muy majos,5,5,5,1,2,5,4,5,5,4,5,5,5,5,4,3,3,4,1,5,5,"2016, 2017",Yo,15,Buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,911000,Chica,Muy bien,10,10,Buena,Buena,Buena,Muy bien,No sé,No lo se,Buena,Muy bien,Sí,Sí,10,me gusto estar con personas diferentes y de todo,nada estaba mal,creo que todo esta bien,4,4,5,3,3,2,3,4,5,5,5,3,2,4,2,1,4,5,1,3,4,2019,Mis padres,11,Buena,No sé,Igual
DISEÑO 3D,SENIOR,911000,Chico,Bien,9,9,Muy buena,No asistí,Buena,Muy bien,Sí,ingeniero mechanico,Buena,Muy bien,Sí,Sí,10,aprender ha utilizar diferentes programas para diseñar figuras en 3 dimensiones,fallos en los ordenadores,nada,3,4,4,1,2,4,4,2,4,3,5,4,4,5,3,3,4,4,2,1,4,2019,Mis padres,11,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,912000,Chico,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,No,no lo se soy pequeño y no repitan preguntas,Me da igual,Bien,Sí,Sí,10,divertirme,los bugs,nada,5,3,5,1,3,2,3,5,5,3,5,3,3,5,3,3,3,5,1,1,5,No,Yo,12,Buena,No sé,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,1001051,Chica,Muy bien,10,1,No asistí,No asistí,Muy buena,Bien,No sé,A algo relacionado con la ingeniería,Muy buena,Muy bien,Sí,Sí,10,Cuando aprendimos a usar las máscaras de capa,Cuando hicimos el stop motion,"los ordenadores, van un poco lento",4,5,5,1,1,4,4,3,5,1,5,5,4,5,2,3,4,5,1,1,5,No,Mis padres,12,Buena,No sé,Mejor
MINECRAFT,JUNIOR,1003000,Chico,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,aventurero,Muy buena,Bien,Sí,Sí,10,aprender,nada,todo esta bien así,5,3,5,1,2,5,3,3,5,1,5,4,3,5,2,4,5,5,1,2,5,No,Yo,10,Muy buena,No sé,Igual
BIOINGENIERIA,SENIOR,1003516,Chica,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,Nutricion o ingeniera de inteligencia artificial,Muy buena,Muy bien,Sí,Sí,10,Las practicas,La teoria,,5,5,4,1,1,4,5,4,4,5,5,4,5,5,3,5,4,4,1,2,3,2019,Yo,15,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1005078,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,alguna ingenieria,Muy buena,Bien,Sí,Sí,9,kali,teoria,yo creo que esta todo bien,5,4,4,1,1,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,No,Yo,16,Buena,Sí,Mejor
BIOINGENIERIA,SENIOR,1006000,Chica,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,"Criminología, ingeniería o tecnología",Muy buena,Bien,Sí,Sí,10,Todo,Nada,Poner más días,5,5,5,1,1,5,5,5,5,3,5,5,5,5,2,3,5,5,1,2,5,"2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,SENIOR,1006000,Chica,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,"Criminología, Ingeniería o Tecnología",Muy buena,Bien,Sí,Sí,10,Todo,Nada,"Ponerlo más días (en vez de 1 semana, algunos días más)",5,5,5,1,1,5,5,5,5,3,5,5,4,5,1,3,5,5,1,1,5,"2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
INGENIERIA ELECTRONICA,SENIOR,1006000,Chica,Bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,"Criminología, ingeniería y tecnología",Muy buena,Bien,Sí,Sí,10,Todo (explotar condensadores),Nada,Más días,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,3,5,5,1,3,5,"2017, 2018, 2019, 2020 (online)",Yo,14,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1006462,Chico,Bien,9,9,Buena,Regular,Buena,Muy bien,Sí,Estudiar una ingeniería.,Buena,Bien,Sí,Sí,9,Los materiales y los profesores.,En ocasiones la wifi ha dado problemas.,Hacer las presentaciones más interactivas con los alumnos.,4,5,4,3,1,4,5,3,3,1,4,3,5,4,5,3,3,4,1,5,4,2019,Yo,17,Buena,Sí,Igual
BIOINGENIERIA,SENIOR,1006955,Chica,Bien,10,10,Buena,No asistí,Buena,Muy bien,Sí,Biotecnología,Buena,Muy bien,Sí,Sí,9,Neurociencia,Demasiada teoría,,5,5,5,1,1,4,5,5,4,5,4,4,5,5,3,5,4,5,1,2,4,2019,Yo,15,Buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1009271,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,no se,Muy buena,Muy bien,Sí,Sí,8,Pedro de Murcia,la teoria,menos teoria y mas practica,4,4,4,1,1,3,4,4,5,2,5,5,3,3,2,3,5,5,1,3,5,2019,"Yo, Mis padres, Mis amigos, Otros",14,Muy buena,No sé,Igual
DRONES,SENIOR,1010827,Chico,Bien,9,7,Muy buena,Muy buena,Muy buena,Bien,Sí,A pilotar drones,Muy buena,Muy bien,Sí,Sí,9,Programar,Teoria,Menos teoría,4,4,4,2,2,3,4,3,4,2,4,4,4,3,3,4,4,4,2,5,4,No,"Yo, Mis padres",14,Buena,Sí,Mejor
VIDEOJUEGOS 3D,SENIOR,1012000,Chico,Bien,9,5,Buena,Buena,Muy buena,Bien,No sé,No sé,Buena,Muy bien,Sí,Sí,9,Poder elegir un poco que hacer y tener influencia en la clase,que el recreo no era en icade y no podiamos jugar nada,.,4,3,5,1,4,3,3,4,4,2,5,4,3,4,2,3,4,5,2,3,4,"2017, 2018, 2019","Yo, Mis padres",13,Buena,No sé,Igual
BIOINGENIERIA,SENIOR,1012271,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,Cirujano o mecánico,Muy buena,Muy bien,Sí,Sí,10,Todo,No hay,Nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,1,5,5,5,1,2,3,No,Mis padres,15,Muy buena,Sí,Igual
DISEÑO 3D,SENIOR,1012271,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,medico o mecánico,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,5,1,1,5,5,4,5,1,5,5,5,5,2,5,5,5,1,2,4,No,Mis padres,15,Muy buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1012271,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,Sí,mecánica o medicinas,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,5,1,5,5,5,3,5,1,5,5,5,5,1,5,5,4,1,1,4,No,Mis padres,15,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1012271,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,medicina,Muy buena,Muy bien,Sí,Sí,10,todo,nada,nada,5,5,5,1,1,4,5,4,5,1,5,4,5,5,1,5,5,3,1,1,4,No,Mis padres,15,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1102000,Chico,Poco,8,10,No asistí,No asistí,Regular,Muy bien,Sí,No sé,Muy buena,Muy bien,Sí,Sí,10,La redstone,Que no hemos hecho muchas cosas de redstone,Hacer más cosas de redstone,5,5,5,1,1,5,5,3,5,1,5,5,5,5,3,5,4,5,1,4,5,No,Yo,10,Buena,No sé,Mejor
VIDEOJUEGOS 2D,JUNIOR,1102000,Chico,Bien,10,10,Buena,No asistí,Buena,Bien,No sé,no lo se,Me da igual,Bien,Sí,Sí,10,crear juegos,no lo se,nada,3,2,2,3,2,1,2,2,2,1,2,1,2,1,1,2,2,3,2,2,2,No,Yo,10,Buena,No sé,Peor
VIDEOJUEGOS 2D,JUNIOR,1102000,Chico,Poco,10,1,Muy buena,No asistí,Regular,Muy bien,Sí,Algo de ciencias,Buena,Muy bien,Sí,Sí,10,Lo gracioso del profesor,El programa de audio,"Nada, está todo genial y me encantaría estar más tiempo y poder repetir.
¡Seguid así! :)",5,5,5,1,1,5,5,2,5,5,5,5,5,5,3,5,3,5,1,4,2,No,Yo,10,Buena,No sé,Igual
MINECRAFT,JUNIOR,1103750,Chico,Muy bien,10,10,No asistí,No asistí,Regular,Muy bien,Sí,Programador,Me da igual,Muy bien,Sí,Sí,9,Crear un server,La charla,El minecraft,3,2,4,1,2,1,2,3,2,2,4,2,2,2,3,2,3,4,3,2,2,No,Yo,12,Muy buena,No sé,Mucho peor
DISEÑO 3D,JUNIOR,1104000,Chica,Bien,10,10,No asistí,No asistí,Muy buena,Muy bien,No sé,No sé,Muy buena,Bien,Sí,Sí,10,todo,nada,nada,5,3,4,1,3,5,3,4,5,3,5,5,3,3,3,3,5,5,1,1,5,No,Yo,10,Buena,No sé,Mejor
DISEÑO 3D,SENIOR,1104000,Chica,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,No,ilustración,Me da igual,Mal,Sí,No,8,los profesores,no se,nada,1,1,4,3,5,1,1,3,2,1,5,2,1,1,4,1,5,2,5,3,3,No,Yo,10,Buena,No sé,Peor
ROBOTICA,JUNIOR,1104000,Chica,Bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,no lo se pero  me gustaría ser algo relacionado con la ciencia,Buena,Bien,Sí,Sí,9,los robots,esperar que se cree el robot,nada,5,5,5,2,1,4,5,3,5,2,5,4,5,5,1,3,5,4,1,2,5,No,Yo,10,Buena,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,1104250,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,INGENIERIA INFORMATICA,Muy buena,Muy bien,Sí,Sí,10,TODO,NADA,NADA,5,5,4,1,1,3,5,5,5,1,5,5,5,5,1,5,3,5,1,1,5,No,Yo,13,Buena,Sí,Mejor
INGENIERIA MECANICA,JUNIOR,1107000,Chico,Muy bien,10,10,Muy buena,Buena,Muy buena,Muy bien,No sé,a ser broker,Muy buena,Muy bien,Sí,Sí,8,todo porque todos me han tratado con cariño y me han acogido y de eso me alegra han sido amable,nada,que deis una mejor version de vosotros mismos que se puede mejorar,3,5,5,1,5,5,5,3,5,1,3,3,1,3,5,1,4,5,3,5,3,No,Mis padres,16,Me da igual,No sé,Mucho mejor
INGENIERIA MECANICA,JUNIOR,1107000,Chico,Muy bien,10,10,Muy buena,Buena,Muy buena,Muy bien,Sí,ingeniero aeroespacial de la nasa,Muy buena,Muy bien,Sí,Sí,10,experimento,recreo,lo del barco,5,5,5,1,1,5,5,4,5,1,5,4,5,5,2,5,2,3,1,3,4,No,Mis padres,16,Me da igual,No sé,Mucho mejor
INTELIGENCIA ARTIFICIAL,SENIOR,1107000,Chico,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,alguna ingenería,Me da igual,Bien,Sí,No,10,el ambiente tan respetuoso que hemos conseguido entre la clase,nada todo perfecto ya que lo que no me gusto es la teoría pero es obligatoria,El periodo de tiempos ya que estamos desde las 8 30 hasta las 11 00 para tener un patio y esto hace que no sea todo equitativo y la primera parte sea mas rollo,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,No,Mis padres,16,Me da igual,No sé,Igual
VIDEOJUEGOS 2D,JUNIOR,1107000,Chico,Bien,10,8,Muy buena,No asistí,Buena,Muy bien,Sí,ME GUSTARIA SER PROFESOR,Muy buena,Muy bien,Sí,Sí,9,LO MEJOR DEL CURSO HA SIDO QUE APRENDIDO HA MANAEJAR UN ORDENADOR,LO PEOR DEL CURSO HA SIDO QUE HE HECHO POCOS AMIGOS,TENEIS QUE MEJORAR TENER MENOS HORAS CON LOS ORDENADORES,4,5,5,1,3,4,3,3,5,4,5,5,4,5,1,3,1,5,1,5,5,No,Mis padres,16,Me da igual,No sé,Mucho mejor
AUTOMATIZACION,SENIOR,1107156,Chico,Muy bien,10,8,Muy buena,No asistí,Buena,Muy bien,Sí,Informatica,Muy buena,Muy bien,Sí,Sí,10,el buen rollo del profesor,nada,nada,5,5,5,1,1,4,5,4,4,1,4,5,5,5,1,5,4,4,1,2,4,"2016, 2018, 2019",Yo,16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1107711,Chico,Bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,Aun no lo se,Muy buena,Muy bien,Sí,Sí,8,Los profesores y las instalaciones,Scratch,Nada,5,4,5,2,2,3,4,3,4,2,5,5,4,4,2,4,5,4,1,2,5,2019,"Yo, Mis amigos",14,Buena,Sí,Mejor
INGENIERIA MECANICA,SENIOR,1107991,Chico,Muy bien,10,10,Muy buena,Buena,Buena,Muy bien,Sí,Ingeniero Industrial,Muy buena,Bien,Sí,Sí,10,"Los monitores, tanto el profesor como el apoyo",nada en especial,Hacer más actividades prácticas,4,4,4,2,2,3,4,3,4,4,4,4,4,4,4,4,4,4,2,4,4,No,Yo,16,Muy buena,Sí,Igual
BIOINGENIERIA,JUNIOR,1109806,Chica,Bien,9,10,Buena,No asistí,Muy buena,Muy bien,Sí,Biomedicina,Buena,Bien,Sí,Sí,9,Microscopio,Cuando nos hablaron del corazon,Nada,4,4,5,2,2,3,4,4,4,2,5,3,4,3,4,3,5,4,1,4,4,No,Mis padres,12,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,1110000,Chico,Muy bien,10,10,Buena,Buena,Muy buena,Bien,No sé,ser futbolista oh algo dentro del deporte,Muy buena,Muy bien,Sí,Sí,10,cunado hicimos ravioli o el salchichón de chocolate,nada,el patio porfa  el patio si,3,5,5,1,1,2,1,3,2,1,1,5,5,5,2,2,3,1,2,1,3,No,Yo,10,Buena,Sí,Mejor
INTELIGENCIA ARTIFICIAL,SENIOR,1110323,Chico,Regular,10,10,Buena,Buena,Buena,Bien,No sé,No estoy seguro,Me da igual,Bien,Sí,Sí,8,"Los compañeros, profesores y los Kahoots",Los repasos de teoria,Nada,3,4,4,2,2,1,4,2,3,4,5,3,4,3,3,2,4,4,2,4,2,No,"Mis padres, Mis amigos",14,Me da igual,No sé,Igual
CIBERSEGURIDAD,SENIOR,1112000,Chica,Muy bien,10,10,Muy buena,Muy buena,,Muy bien,Sí,Fisica y matematicas,Muy buena,Muy bien,Sí,Sí,10,lo que he aprendido,nada,nada,5,5,5,1,5,5,5,4,5,1,5,5,5,5,1,5,4,5,1,1,5,2020 (online),Yo,12,Muy buena,Sí,Igual
MINECRAFT,JUNIOR,1112000,Chico,Muy bien,10,10,No asistí,No asistí,Buena,Muy bien,Sí,diseño 3D,Buena,Bien,Sí,Sí,10,todo,nada,nada,4,4,4,1,2,3,3,4,4,2,4,4,3,4,2,4,4,4,1,1,4,2020 (online),Yo,12,Muy buena,Sí,Peor
VIDEOJUEGOS 2D,JUNIOR,1112000,Chico,Muy bien,10,10,Muy buena,No asistí,Buena,Muy bien,No sé,diseño 3D,Buena,Bien,Sí,Sí,10,todo,nada,todo esta bien,3,4,4,1,3,3,2,5,4,2,5,4,2,4,1,2,4,4,1,1,4,2020 (online),Yo,12,Muy buena,Sí,Peor
CIBERSEGURIDAD,SENIOR,1112643,Chico,Muy bien,10,10,Muy buena,Buena,Buena,Muy bien,Sí,Ingeniero de Telecomunicaciones o Ingeniero Aeroespacial,Muy buena,Muy bien,Sí,Sí,10,El curso ha estado genial en general,No creo que haya habido nada malo,"Ha estado todo muy bien. Como pequeña pega, algunas preguntas de esta encuesta están repetidas.",5,5,5,1,1,5,5,4,5,4,5,5,5,5,4,4,4,5,1,4,4,2019,"Yo, Mis padres",16,Muy buena,Sí,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1112643,Chico,Bien,9,9,Muy buena,Muy buena,Buena,Muy bien,Sí,Ingeniero de Telecomunicaciones o Aeronaútico,Muy buena,Bien,Sí,Sí,10,Python,Nada,Quizá adaptarse algo más al nivel de los alumnos pero en general todo muy bien,5,5,5,1,1,5,5,4,5,1,5,5,5,5,4,4,4,5,1,4,3,2019,"Yo, Mis padres",16,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1203465,Chico,Bien,10,10,Muy buena,Muy buena,Buena,Muy bien,Sí,no se,Muy buena,Bien,Sí,Sí,9,no se,no se,no se,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"2016, 2017, 2018, 2020 (online)",Yo,15,Muy buena,Sí,Igual
CIBERSEGURIDAD,SENIOR,1204427,Chico,Bien,10,10,Muy buena,Buena,Buena,Bien,Sí,algo relacionado con informatica,Muy buena,Bien,Sí,No,9,el phishing,hackrf,poner ratones a los portátiles,4,4,4,2,1,3,5,3,4,2,4,4,4,4,4,2,3,4,2,4,3,No,"Yo, Mis padres",16,Buena,Sí,Mejor
CIENCIA EN LA COCINA,JUNIOR,1206000,Chica,Muy bien,8,6,No asistí,No asistí,Muy buena,Bien,Sí,No se pero me quiero ir por ciencias,Muy buena,Muy bien,Sí,Sí,9,El trampantojo de fuet,Que habia poco material,Poner mas material y que los profes te traten un poco mejor,5,4,5,2,1,3,4,3,4,4,5,4,4,3,3,4,5,5,2,3,5,No,Yo,13,Muy buena,Sí,Igual
EDICION DE FOTO Y VIDEO,JUNIOR,1206000,Chica,Bien,10,1,No asistí,No asistí,Muy buena,Bien,No sé,No lo se que quiero ser pero creo que me quiero ir por ciencias,Muy buena,Muy bien,Sí,Sí,10,Los compañeros y la profesora que me han tocado,Que a veces no iban los ordenadores,intentar que los ordenadores funcionen mejor o comprar unos nuevos,4,4,3,1,4,3,4,4,4,2,5,3,4,4,2,2,5,3,1,3,2,No,Yo,13,Muy buena,Sí,Igual
DRONES,SENIOR,1206306,Chico,Bien,10,10,Buena,No asistí,Muy buena,Muy bien,Sí,Ingeniero Industrial,Muy buena,Muy bien,Sí,Sí,10,El laser,Eso codigo,En la presentación de drones  parece que se trabajará más práctico pero cuando lo haces es código principalmente.,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,5,5,1,2,5,2018,Yo,15,Muy buena,Sí,Igual
SMART CITY,SENIOR,1206306,Chico,Muy bien,10,10,Muy buena,Muy buena,Muy buena,Muy bien,Sí,ingenieria industrial,Muy buena,Muy bien,Sí,Sí,10,La maqueta,la informacion,Dar mas informacion sobre los cursos en la pagina de inscripcion,5,5,5,1,1,5,5,5,5,1,5,5,5,5,1,5,4,5,1,5,5,2018,Yo,15,Muy buena,Sí,Igual
BIOINGENIERIA,SENIOR,1207020,Chica,Bien,8,9,Buena,No asistí,Buena,Bien,No sé,No lo sé,Buena,Bien,Sí,Sí,10,Los compañeros y los profes,Se podría haber hecho más práctica,Más visitas por la universidad,3,3,4,2,3,3,3,4,4,3,4,3,3,4,4,3,3,4,3,2,4,No,Yo,14,Buena,No sé,Igual
EDICION DE FOTO Y VIDEO,SENIOR,1207020,Chica,Muy bien,8,10,Buena,No asistí,Buena,Muy bien,No sé,Ni idea,Buena,Bien,Sí,Sí,9,Photoshop,Nada,Esta todo bien,3,3,4,2,3,3,3,4,3,3,4,3,3,3,3,3,4,4,2,2,4,No,Yo,14,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,1209000,Chica,Muy bien,10,10,No asistí,No asistí,Muy buena,Muy bien,Sí,farmacia o biofarmacia,Buena,Bien,Sí,Sí,10,todo,no se,nada,4,4,4,2,1,4,5,3,4,2,4,3,4,3,2,4,4,4,1,3,4,No,Mis padres,11,Buena,No sé,Igual
CIENCIA EN LA COCINA,JUNIOR,1209000,Chico,Muy bien,10,10,Buena,Regular,Buena,Muy bien,No sé,paleontologo o diseñador de videojuegos,Muy buena,Bien,Sí,Sí,10,cocinar,limpiar,el patio,5,4,5,1,1,4,3,5,5,3,5,5,3,4,1,3,5,5,1,3,5,No,Mis padres,11,Buena,No sé,Mejor
VIDEOJUEGOS 2D,JUNIOR,1209000,Chico,Muy bien,8,10,Muy buena,Muy buena,Muy buena,Muy bien,No sé,PALEONTOLOGO,Muy buena,Muy bien,Sí,Sí,10,LOS ORDENADORES,EL PATIO,PATIO,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,Mis padres,11,Buena,No sé,Mejor
BIOINGENIERIA,SENIOR,1211000,Chico,Muy bien,10,10,Buena,Buena,Buena,Muy bien,Sí,Farmacia,Buena,Bien,Sí,Sí,10,Todo,Nada,Nose,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,No,"Yo, Mis padres",15,Buena,Sí,Igual
VIDEOJUEGOS 3D,SENIOR,1211000,Chico,Muy bien,10,10,Buena,Buena,Buena,Muy bien,Sí,farmacia,Buena,Muy bien,Sí,Sí,10,todo,nada,no se,5,5,5,1,1,3,5,4,4,4,5,5,5,5,1,4,5,5,1,2,5,No,"Yo, Mis padres",15,Buena,Sí,Igual
INGENIERIA MECANICA,SENIOR,1305293,Chico,Bien,8,8,Buena,Buena,Buena,Bien,Sí,A ser físico,Buena,Bien,Sí,Sí,8,Sobre la aerodinámica que tienen los fórmulas 1 y también sobre los aviones,Aprender os bastantes veces sobre las presiones,,4,4,4,2,2,4,4,4,4,2,4,4,4,4,2,4,3,4,2,3,4,2019,"Yo, Mis padres",15,Buena,Sí,Igual
DISEÑO 3D,SENIOR,1306366,Chico,Muy bien,9,9,Buena,Buena,Buena,Bien,No sé,informatico o programador,Buena,Bien,Sí,Sí,9,la forma de diseñar,nada,nada,4,4,5,1,2,2,4,4,5,1,4,4,4,4,1,3,4,4,1,1,4,No,Yo,14,Buena,No sé,Igual
INTELIGENCIA ARTIFICIAL,SENIOR,1307385,Chico,Muy bien,10,10,Buena,Buena,Buena,Muy bien,Sí,algun tema en fisica,Muy buena,Muy bien,Sí,Sí,10,python,levantarme a las 7,un poco mas tarde el curso,5,5,5,1,1,4,5,5,5,1,5,5,5,5,3,5,5,5,1,2,5,2019,Yo,14,Buena,Sí,Mejor
VIDEOJUEGOS 3D,SENIOR,1307385,Chico,Muy bien,2,1,Buena,No asistí,Mala,Regular,No,si,Buena,Muy bien,No,Sí,4,javier,nico,el frio y horario,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2019,Yo,14,Buena,Sí,Igual
DRONES,SENIOR,1307570,Chico,Regular,9,9,Muy buena,No asistí,Regular,Regular,No sé,A pilotar aviones,Buena,Bien,Sí,Sí,8,Programar,Teoría,Menos teoría,4,3,4,1,3,1,4,2,4,3,3,4,3,2,5,3,3,4,2,5,3,No,Yo,14,Buena,No sé,Igual
CIENCIA EN LA COCINA,SENIOR,1308000,Chica,Muy bien,10,10,Buena,Buena,Buena,Bien,Sí,ingenieria de algo,Buena,Muy bien,Sí,Sí,8,cocinando differentes cosas,la hora que empieza (muy temprano),la hora,4,3,4,2,3,3,4,3,3,2,4,4,4,4,3,4,4,3,2,4,3,2019,"Yo, Mis padres",12,Muy buena,Sí,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,1308000,Chico,Regular,10,1,No asistí,No asistí,Muy buena,Muy bien,No,No lo se,Muy buena,Muy bien,Sí,Sí,10,Editar,Nada,Nada,5,4,5,1,5,5,3,4,5,5,5,5,5,5,4,1,5,5,1,1,3,2019,"Yo, Mis padres",12,Muy buena,Sí,Igual
INGENIERIA MECANICA,JUNIOR,1308000,Chico,Muy bien,10,10,Muy buena,No asistí,Muy buena,Muy bien,Sí,ingeniero industrial,Muy buena,Muy bien,Sí,Sí,10,todo,nada,me ha parecido divertidísimo y a la vez interesante. No cambiaría nada,5,5,5,1,5,5,5,5,5,1,5,5,5,5,3,5,3,5,1,1,5,2019,"Yo, Mis padres",12,Muy buena,Sí,Igual
DISEÑO 3D,JUNIOR,1310000,Chica,Muy bien,9,8,No asistí,No asistí,Muy buena,Bien,Sí,policía informática,Buena,Muy bien,Sí,Sí,9,todo,el lapiz 3d,algunas impresora,4,4,4,2,2,5,5,2,4,2,5,3,4,4,3,2,5,5,1,4,4,2020 (online),Yo,12,Muy buena,Sí,Peor
EDICION DE FOTO Y VIDEO,JUNIOR,1310000,Chica,Bien,8,10,No asistí,No asistí,,Bien,Sí,policia informática,Buena,Bien,Sí,Sí,8,"pintar, recortar y pegar",premiere,nose,4,4,5,3,2,4,4,3,4,4,5,4,4,4,4,2,5,5,1,4,4,2020 (online),Yo,12,Muy buena,Sí,Peor
ROBOTICA,JUNIOR,1310000,Chica,Bien,10,10,No asistí,No asistí,Buena,Muy bien,No sé,diseñadora de interores,Muy buena,Bien,Sí,Sí,10,todo,nada,nada,5,3,4,4,3,3,3,3,5,3,4,4,3,3,1,3,4,5,1,3,5,2020 (online),Yo,12,Muy buena,Sí,Igual
CIENCIA EN LA COCINA,JUNIOR,1311000,Chica,Regular,8,10,No asistí,No asistí,Buena,Muy bien,No sé,no sé,Mala,Bien,Sí,No,10,cocina,teoría,nada,2,3,4,4,3,2,3,2,3,4,5,5,4,3,4,3,5,5,4,5,5,No,"Yo, Mis padres",10,Buena,No sé,Mucho peor
DISEÑO 3D,JUNIOR,1311000,Chica,Bien,9,9,No asistí,No asistí,Buena,Muy bien,No sé,No sé,Buena,Bien,Sí,Sí,8,bolis3D,Impresoras,nada,3,4,4,2,3,3,4,3,3,3,5,4,3,4,4,3,5,5,2,4,4,No,"Yo, Mis padres",10,Buena,No sé,Igual
DISEÑO 3D,JUNIOR,1311000,Chico,Bien,7,7,No asistí,No asistí,Buena,Muy bien,No sé,Aun no decidido:I,Buena,Muy bien,Sí,Sí,7,Impresión libre,Falta de relleno :I,El relleno,4,3,5,1,3,3,3,4,3,3,5,5,3,4,2,3,3,5,1,2,5,No,"Yo, Mis padres",10,Buena,No sé,Igual
INGENIERIA MECANICA,JUNIOR,1311000,Chico,Poco,1,10,Mala,Mala,Mala,Regular,Sí,ingeniero mecánico,Muy buena,Muy bien,No,No,6,la cafetería[EL COCINERO],El tutor[Ignacío],Q no diga tantas palabrotas[Ignacío] que hechen a Ignacio Roberto Cateta,5,5,5,1,4,4,5,4,5,1,5,5,5,5,1,5,4,5,1,1,5,No,"Yo, Mis padres",10,Buena,No sé,Mejor
